date,latitude,longitude
4/16/2021,37.4,-76.52
4/16/2021,36.65,-81.23
4/16/2021,36.83543,-76.29827
4/16/2021,,
4/16/2021,36.8506,-75.9779
4/16/2021,44.458221,-72.095627
4/16/2021,48.55,-119.75
4/16/2021,48.48,-121.78
4/16/2021,46.03,-121.91
4/16/2021,46.23,-118.48
4/16/2021,44.38,-91.75
4/16/2021,45.87,-92.37
4/16/2021,45.216667,-89
4/16/2021,43.95,-90.62
4/16/2021,43.72,-87.66
4/16/2021,46.05,-89.51
4/16/2021,44.11,-89.24
4/16/2021,39.01,-78.86
4/16/2021,37.37,-81.65
4/16/2021,39.47,-79.67
4/16/2021,38.78,-79.87
4/16/2021,40.28,-74.7
4/16/2021,40.79,-89.21
4/16/2021,36.155833,-91.505
4/16/2021,44.5,-100
4/16/2021,33.57,-82.88
4/16/2021,32.7,-82.66
4/16/2021,32.02,-81.44
4/16/2021,32.44,-83.33
4/16/2021,34.5,-84.87
4/16/2021,31.16,-84.73
4/16/2021,32.24,-83.47
4/16/2021,34.87692,-83.4082
4/16/2021,33.03,-85.03
4/16/2021,32.05,-84.55
4/16/2021,31,-92
4/16/2021,18.25,-66.5
4/16/2021,18.333333,-64.833333
4/16/2021,47.5,-120.5
4/16/2021,37.7775,-122.416389
4/16/2021,62.09,-163.53
4/16/2021,67,-160
4/16/2021,31.749444,-86.682222
4/16/2021,34.05,-86.033333
4/16/2021,33.72,-87.738611
4/16/2021,34.521389,-87.310278
4/16/2021,32.15,-86.65
4/16/2021,31.985,-87.310833
4/16/2021,35.840278,-90.7075
4/16/2021,34.828056,-91.536667
4/16/2021,32.986944,-111.327222
4/16/2021,38.44,-120.66
4/16/2021,40.01,-120.83
4/16/2021,39.59,-120.5
4/16/2021,39.27,-121.35
4/16/2021,39.12,-105.71
4/16/2021,27.49,-81.81
4/16/2021,29.28,-82.79
4/16/2021,27.96,-81.7
4/16/2021,27.19,-82.37
4/16/2021,21.466667,-157.966667
4/16/2021,42.468889,-92.305278
4/16/2021,41.329444,-94.929167
4/16/2021,41.026111,-93.328333
4/16/2021,41.028333,-92.87
4/16/2021,42.426111,-94.188611
4/16/2021,44.01,-115.74
4/16/2021,43.63,-116.71
4/16/2021,42.76,-111.55
4/16/2021,43.82,-112.31
4/16/2021,43.75,-111.21
4/16/2021,38.42,-88.06
4/16/2021,40.4,-91.17
4/16/2021,37.22,-88.71
4/16/2021,40.52,-85.65
4/16/2021,41.03,-87.12
4/16/2021,38.71,-86.8
4/16/2021,38.02,-87.58
4/16/2021,37.8833,-95.2833
4/16/2021,37.960556,-100.855833
4/16/2021,37.7,-99.9
4/16/2021,37.5833,-101.333
4/16/2021,38.15,-99.2
4/16/2021,38.9167,-98.7667
4/16/2021,36.96,-85.93
4/16/2021,37.8,-87.57
4/16/2021,37.31,-87.54
4/16/2021,37.47,-86.84
4/16/2021,36.99,-85.06
4/16/2021,38.22,-85.19
4/16/2021,32.09,-93.33
4/16/2021,32.83,-92.38
4/16/2021,31.11,-93.19
4/16/2021,30.87,-91.42
4/16/2021,42.56,-86.25
4/16/2021,44.05,-83.75
4/16/2021,42.25,-85
4/16/2021,41.89,-84.07
4/16/2021,46.66,-87.6
4/16/2021,46.02,-86.19
4/16/2021,43.466667,-83.45
4/16/2021,46.95,-94.32
4/16/2021,43.68,-92.09
4/16/2021,47.1,-94.91
4/16/2021,47.53,-91.39
4/16/2021,47.77,-96.4
4/16/2021,47.88,-96.1
4/16/2021,43.67,-96.25
4/16/2021,45.77,-96.47
4/16/2021,36.72,-90.4
4/16/2021,39.9,-94.4
4/16/2021,37.781944,-90.422222
4/16/2021,38.64,-90.44
4/16/2021,34.77,-88.91
4/16/2021,34.66,-90.38
4/16/2021,31.14,-90.1
4/16/2021,48.29,-114.02
4/16/2021,48.63,-110.11
4/16/2021,35.92,-81.18
4/16/2021,36.49,-81.13
4/16/2021,36.43,-81.5
4/16/2021,35.48,-76.84
4/16/2021,36.06,-76.96
4/16/2021,34.26,-78.67
4/16/2021,35.35,-83.83
4/16/2021,35.29,-83.14
4/16/2021,34.99,-80.53
4/16/2021,35.7,-77.92
4/16/2021,48.77,-98.46
4/16/2021,47.61,-101.32
4/16/2021,41.7,-98.06
4/16/2021,40.53,-101.69
4/16/2021,41.3,-96.15
4/16/2021,40.78,-96.69
4/16/2021,40.6762,-95.8617
4/16/2021,42.27,-97.61
4/16/2021,40.18,-97.59
4/16/2021,41.92,-100.58
4/16/2021,42.16,-96.55
4/16/2021,32.47,-104.3
4/16/2021,36.57,-105.63
4/16/2021,41.13,-115.35
