latitude,longitude
-0.975,-62.923889
-7.432778,-70.022778
-3.142778,-58.443889
-8.720833,-39.115
-11.616944,-38.8
-13.945,-39.103889
-15.505,-41.238889
-12.326944000000001,-38.765
-12.027778,-44.257778
-12.67,-39.101944
-13.743889000000001,-39.486944
-14.546944,-41.94
-14.222778,-42.780833
-11.748889,-39.191944
-14.277778,-38.996944
-15.116944,-40.07
-13.731944,-39.148889000000004
-10.26,-40.195833
-13.112778,-38.895833
-10.002778,-42.503889
-17.340833,-39.220833
-12.512777999999999,-38.495
-11.978889,-39.103889
-14.213889000000002,-39.522778
-12.081944,-41.093889000000004
-11.528889,-40.32
-3.900833,-38.390833
-6.942778,-38.967778
-3.018889,-41.136944
-7.041944,-39.283889
-6.536944,-39.496944
-6.130833,-39.877778
-3.532778,-40.656944
-4.563889,-38.921944
-5.612778,-38.766944
-7.312778,-38.945833
-4.172778,-38.460833
-3.7927779999999998,-39.27
-7.535,-39.117778
-5.198889,-39.292778000000006
-4.331944,-40.156944
-6.683889,-39.760833
-3.625,-39.507778
-20.62,-41.685833
-21.010832999999998,-40.833889
-19.39866,-40.065059999999995
-21.063889,-41.365833
-16.081944,-48.506944
-14.563889000000001,-46.176944
-14.731944,-49.701944
-17.141944,-49.986944
-13.732778,-49.275
-1.675,-46.001944
-2.952778,-45.665
-5.592778,-47.017778
-3.392778,-44.358889000000005
-6.370833,-44.362778000000006
-6.18,-43.783889
-6.337778,-47.398889000000004
-2.893889,-44.88
-5.093889,-42.836944
-2.2008330000000003,-45.342778
-3.207778,-43.403889
-19.158333,-45.452222
-17.081944,-40.935833
-21.74,-44.308889
-19.033889000000002,-46.155833
-17.866944,-42.556944
-21.958889000000003,-44.89
-21.605832999999997,-43.756944
-19.760832999999998,-48.571944
-20.875833,-43.738889
-20.183889,-44.770833
-20.582778,-46.921944
-21.388889000000002,-42.696944
-20.442778,-44.765833
-22.16,-45.455
-22.412778,-45.797778
-19.171944,-41.471944
-18.755833,-44.430833
-22.508889,-45.28
-19.842778,-42.776944
-20.613889,-42.148889000000004
-20.65,-41.906944
-22.855,-46.317778000000004
-15.081944,-43.123889
-18.981944,-41.222778000000005
-16.860833,-44.913889000000005
-22.060833,-46.44
-15.101944,-44.091944
-22.283889000000002,-44.87
-18.968889,-49.465
-21.997778,-45.290833
-17.076944,-40.715833
-20.258056,-42.033611
-20.378347,-43.416472
-22.448889,-45.165
-21.193889000000002,-43.340833
-16.262778,-44.163889000000005
-21.757778,-45.540833
-21.325833,-46.367778
-17.838889,-40.353889
-18.436944,-41.500833
-20.385278,-43.503611
-16.735,-40.42
-17.221667,-46.875
-16.005,-41.296944
-21.705833,-43.745833000000005
-21.090833,-45.090833
-21.787778,-46.560833
-22.228056,-45.933611
-20.921944,-44.237778000000006
-21.2,-42.865
-19.005833,-44.042778000000006
-21.581944,-45.075833
-15.807777999999999,-42.232778
-21.694722,-45.255278000000004
-19.530832999999998,-54.043889
-18.506944,-54.76
-20.68,-55.295832999999995
-22.668889,-53.86
-14.396944,-50.995833000000005
-15.965,-54.967778
-13.05,-55.910833
-15.620833,-58.175833
-11.912778,-55.225832999999994
-16.465,-54.255
-13.446944,-56.720833
-12.305833,-55.31694399999999
-2.133889,-47.562778
-1.768889,-47.438889
-2.268889,-46.965833
-1.1688889999999998,-47.795
-1.196944,-46.14
-2.88,-52.01
-6.8277779999999995,-35.757778
-6.962778,-35.691944
-7.122778,-36.940833000000005
-7.582778,-35.790833
-7.087778,-35.958889
-7.426944000000001,-38.067778000000004
-7.2669440000000005,-35.26
-7.160833,-35.960833
-6.55,-35.645833
-7.115833,-37.451944
-7.911667,-34.902778000000005
-8.883333,-36.283333
-7.79,-35.090833
-9.17,-36.68
-7.741111,-35.721111
-8.616944,-35.95
